scan_id,broker,pair,rate_type,qty,buy,sell
000000023,Cinkciarz,USDPLN,50K price,1,45019,45275
000000023,Cinkciarz,NOKPLN,50K price,1,4502,4563
000000023,Cinkciarz,CHFPLN,unit price,1,47614,48005
000000023,Cinkciarz,EURPLN,unit price,1,46645,47034
000000023,Cinkciarz,GBPPLN,unit price,1,53492,53918
000000023,Cinkciarz,USDPLN,unit price,1,44961,45335
000000023,Cinkciarz,NOKPLN,unit price,1,4501,4563
000000024,InternetowyKantor,EURPLN,unit price,1,46711,47011
000000024,InternetowyKantor,CHFPLN,unit price,1,47729,48129
000000024,InternetowyKantor,USDPLN,unit price,1,45024,45324
000000024,InternetowyKantor,GBPPLN,unit price,1,53522,53922
000000024,InternetowyKantor,NOKPLN,unit price,1,4504,4564
000000024,Cinkciarz,CHFPLN,50K price,1,47679,47937
000000024,Cinkciarz,EURPLN,50K price,1,46708,46974
000000024,Cinkciarz,GBPPLN,50K price,1,53559,53851
000000024,Cinkciarz,USDPLN,50K price,1,45025,45282
000000024,Cinkciarz,NOKPLN,50K price,1,4501,4563
000000024,Cinkciarz,CHFPLN,unit price,1,47613,48004
000000024,Cinkciarz,EURPLN,unit price,1,46647,47036
000000024,Cinkciarz,GBPPLN,unit price,1,53497,53914
000000024,Cinkciarz,USDPLN,unit price,1,44966,45340
000000024,Cinkciarz,NOKPLN,unit price,1,4501,4563
000000025,InternetowyKantor,EURPLN,unit price,1,46716,47016
000000025,InternetowyKantor,CHFPLN,unit price,1,47746,48146
000000025,InternetowyKantor,USDPLN,unit price,1,45046,45346
000000025,InternetowyKantor,GBPPLN,unit price,1,53524,53924
000000025,InternetowyKantor,NOKPLN,unit price,1,4504,4564
000000025,Cinkciarz,CHFPLN,50K price,1,47695,47949
000000025,Cinkciarz,EURPLN,50K price,1,46717,46981
000000025,Cinkciarz,GBPPLN,50K price,1,53554,53846
000000025,Cinkciarz,USDPLN,50K price,1,45048,45306
000000025,Cinkciarz,NOKPLN,50K price,1,4501,4563
000000025,Cinkciarz,CHFPLN,unit price,1,47624,48013
000000025,Cinkciarz,EURPLN,unit price,1,46654,47043
000000025,Cinkciarz,GBPPLN,unit price,1,53492,53920
